4,070300173,1
4,190900911,1
3,100400349,1
14,170300124,0
1,170300124,1
16,100400349,1
16,170300124,1
1,050600227,1
4,050600227,1
3,170300124,1
20,131102864,1
20,990900057,1
20,200100001,1
24,960600073,0
24,220300382,1
24,031101119,1
24,151000586,1
24,210400394,1
24,010400521,1
7,101100991,1
24,101100991,1
24,190500472,1
13,190500472,1
24,101201096,1
24,211101279,1
2,211101279,1
20,211101279,1
4,211101279,1
6,211101279,1
7,211101279,1
15,211101279,1
1,210800752,1
24,131002614,1
24,050100010,1
24,130200373,1
20,130301093,1
24,170300124,1
24,170300124,0
24,180500487,1
1,171200824,1
24,130601956,1
15,210700700,0
15,130300880,1
24,050600237,1
26,131002614,1
26,080600542,1
26,080200202,1
24,080200202,1
26,120901407,1
26,190900887,1
24,190900887,1
24,200600495,1
26,200600495,1
20,190900911,1
24,220100159,1
26,220100159,1
26,130301116,0
26,171000645,1
13,171000645,1
24,110400331,1
27,170700374,1
27,031101119,1
27,030700794,1
26,190500472,1
27,220300402,1
27,190500472,1
27,130300737,1
27,130702275,1
27,090500327,1
27,130300716,1
27,080800639,1
15,960100018,1
27,960100018,1
27,101100992,1
26,101100992,1
27,220600897,1
20,101100992,1
15,101100992,1
14,101100992,1
2,101100992,1
27,160200082,1
11,101100992,1
27,210100014,1
12,920700071,1
27,160900436,1
27,121201927,1
27,180700579,1
27,031001008,1
28,030200223,1
28,110400331,0
28,151000586,1
28,130300920,1
28,130601956,1
20,020300572,1
28,020300572,1
28,211201414,1
28,180700579,1
28,031101119,1
28,130300716,1
28,170700374,1
3,150700403,1
28,140100027,1
28,190900913,1
27,100400349,1
20,190900913,1
29,190500493,0
29,160200082,1
29,190400417,1
29,130401547,0
29,190900911,1
29,190200177,1
29,220100003,1
28,090500327,1
29,031101119,1
29,090500327,1
29,171100648,1
29,130300830,1
29,170300124,1
7,220400713,1
8,220400713,1
29,130702275,1
29,051000389,1
29,020300572,1
28,220400713,1
28,070300173,1
30,120801286,1
30,130401583,1
30,170300124,1
30,031101119,1
30,200400400,1
29,030700794,1
30,210800754,1
29,210800754,1
26,041200474,1
30,220400713,1
1,150100030,1
27,150100030,1
29,130401300,1
30,020100062,1
30,051100441,1
27,141000976,1
30,130300745,1
28,130301101,1
28,170600333,1
28,170100021,1
28,220300566,1
30,031001041,1
30,150300140,1
30,130300714,1
30,130501923,1
30,220300384,1
30,130300718,1
30,191201181,1
27,171100648,1
30,130300719,1
30,171100648,1
30,201000879,1
30,200400437,1
30,991000076,1
30,130300689,1
3,130401300,1
30,130902517,1
30,130401371,1
30,060100038,1
31,111101607,1
31,170300124,1
31,090300173,1
31,220300402,1
15,130300952,1
31,130702275,1
31,200400400,1
31,130300716,1
31,220400713,1
31,210300287,1
31,210900986,1
31,130300920,1
31,130300922,1
15,130300922,1
27,130300922,1
5,220400713,1
9,220400713,1
31,140300400,1
20,220601038,1
31,140300413,1
32,020701318,1
32,130200373,1
31,150700403,1
32,150700403,1
30,150700403,1
28,150700403,1
27,150700403,1
29,150700403,1
32,220400713,1
28,130300922,1
32,130300922,1
32,130501734,1
32,200300252,1
32,060200091,1
30,060200091,1
32,931000112,1
31,031101119,1
32,031101119,1
31,080600542,1
31,060200091,1
32,120200213,1
30,171200817,1
32,190500472,1
32,070300173,1
20,190500472,1
32,071100685,1
32,220701021,1
31,220701021,1
31,060300164,1
32,101201096,1
32,160100025,1
32,160200082,1
32,190500493,1
32,060300164,1
29,060300164,1
31,160200082,1
33,180100115,1
33,130601956,1
33,121001571,1
33,160200082,1
33,160900436,1
33,140100027,1
33,070700393,1
33,060200091,1
33,170300124,1
33,130501746,1
33,031101119,1
33,101100992,1
33,070600359,1
33,220701021,1
33,170800529,1
33,220100074,1
33,110400317,1
33,130501923,1
33,200100085,1
33,210900916,1
31,010400506,1
30,060300164,1
33,080200202,0
10,150700403,1
33,150700403,1
32,171100648,1
32,960100018,1
33,020400907,1
34,130601956,1
34,190500472,1
34,170300124,1
34,160900435,1
34,140200254,1
34,160900436,1
15,140900890,1
32,140900890,1
34,140900890,1
1,140900890,1
34,101100992,1
34,130401620,1
33,130401620,1
32,130401620,1
34,090900620,1
30,220200413,1
34,980100005,1
34,990900057,1
35,140500596,1
35,220400713,0
35,170300124,1
35,031101119,1
35,200400400,1
35,940800093,1
35,140600681,1
34,140600681,1
33,140600681,1
29,130501734,1
35,200100085,1
35,160200082,1
35,090300173,1
35,060300181,1
35,150300180,1
35,080800639,1
35,991000070,1
35,191201181,1
35,960100018,1
35,120600956,1
35,031001041,1
35,020200430,1
